station,date,prcp,tobs
USC00519397,2010-04-17,0.0,21.1
USC00519397,2010-04-18,0.0,21.7
USC00519397,2010-04-19,0.0,23.3
USC00519397,2010-04-20,1.0,21.7
USC00519397,2010-04-21,0.3,23.9
USC00519397,2010-04-22,0.0,24.4
USC00519397,2010-04-23,0.5,23.9
USC00519397,2010-04-24,0.0,23.9
USC00519397,2010-04-25,0.0,24.4
USC00519397,2010-04-26,0.0,24.4
USC00519397,2010-04-28,0.0,24.4
USC00519397,2010-04-30,0.0,25.0
USC00519397,2010-05-01,0.0,25.0
USC00519397,2010-05-02,0.8,22.8
USC00519397,2010-05-03,5.1,23.3
USC00519397,2010-05-04,2.0,24.4
USC00519397,2010-05-05,0.3,24.4
USC00519397,2010-05-06,0.0,26.7
USC00519397,2010-05-07,1.3,23.3
USC00519397,2010-05-08,0.0,25.0
USC00519397,2010-05-09,0.0,25.0
USC00519397,2010-05-10,0.0,24.4
USC00519397,2010-05-11,0.0,25.0
USC00519397,2010-05-13,0.0,25.6
USC00519397,2010-05-14,0.0,25.6
USC00519397,2010-05-15,0.0,23.9
USC00519397,2010-05-16,0.8,22.8
USC00519397,2010-05-17,0.0,25.0
USC00519397,2010-05-18,0.0,24.4
USC00519397,2010-05-19,0.0,25.0
USC00519397,2010-05-21,,25.0
USC00519397,2010-05-22,0.0,25.6
USC00519397,2010-05-23,1.3,23.9
USC00519397,2010-05-24,0.0,25.0
USC00519397,2010-05-25,0.0,25.0
USC00519397,2010-05-26,0.5,25.0
USC00519397,2010-05-27,0.0,24.4
USC00519397,2010-05-28,0.0,23.9
USC00519397,2010-05-29,0.0,25.0
USC00519397,2010-05-30,0.0,25.0
USC00519397,2010-05-31,0.0,25.0
USC00519397,2010-06-01,0.0,25.6
USC00519397,2010-06-02,0.3,24.4
USC00519397,2010-06-03,0.0,25.6
USC00519397,2010-06-04,0.0,24.4
USC00519397,2010-06-05,0.0,25.0
USC00519397,2010-06-06,0.0,25.6
USC00519397,2010-06-07,0.0,25.0
USC00519397,2010-06-08,0.0,25.6
USC00519397,2010-06-09,0.0,25.6
USC00519397,2010-06-10,0.0,26.1
USC00519397,2010-06-11,0.0,25.6
USC00519397,2010-06-12,0.0,25.6
USC00519397,2010-06-13,0.0,25.6
USC00519397,2010-06-14,0.0,25.0
USC00519397,2010-06-15,0.0,25.6
USC00519397,2010-06-16,0.0,25.6
USC00519397,2010-06-17,0.0,25.0
USC00519397,2010-06-18,0.0,25.0
USC00519397,2010-06-19,0.0,27.8
USC00519397,2010-06-20,0.0,25.6
USC00519397,2010-06-21,0.0,25.6
USC00519397,2010-06-22,0.0,25.6
USC00519397,2010-06-23,0.0,25.6
USC00519397,2010-06-24,0.0,25.6
USC00519397,2010-06-25,0.0,25.0
USC00519397,2010-06-26,0.5,24.4
USC00519397,2010-06-27,0.0,25.6
USC00519397,2010-06-28,0.0,25.6
USC00519397,2010-06-29,0.0,25.6
USC00519397,2010-06-30,0.0,25.6
USC00519397,2010-07-01,0.3,23.9
USC00519397,2010-07-02,1.3,25.0
USC00519397,2010-07-03,2.3,25.0
USC00519397,2010-07-04,1.3,25.6
USC00519397,2010-07-05,1.5,25.6
USC00519397,2010-07-06,2.0,24.4
USC00519397,2010-07-07,2.0,23.3
USC00519397,2010-07-08,0.8,24.4
USC00519397,2010-07-09,1.5,23.3
USC00519397,2010-07-10,2.3,24.4
USC00519397,2010-07-11,0.0,25.6
USC00519397,2010-07-12,0.0,25.0
USC00519397,2010-07-13,0.0,26.7
USC00519397,2010-07-16,,25.6
USC00519397,2010-07-17,0.5,24.4
USC00519397,2010-07-18,0.0,25.0
USC00519397,2010-07-19,1.0,25.0
USC00519397,2010-07-21,0.0,26.7
USC00519397,2010-07-22,0.0,25.6
USC00519397,2010-07-24,0.0,26.7
USC00519397,2010-07-25,0.0,26.1
USC00519397,2010-07-26,0.0,25.6
USC00519397,2010-07-27,0.0,26.1
USC00519397,2010-07-28,0.0,25.6
USC00519397,2010-07-29,0.0,26.1
USC00519397,2010-07-30,0.0,25.6
USC00519397,2010-07-31,0.5,25.0
USC00519397,2010-08-01,1.0,25.0
USC00519397,2010-08-02,0.3,24.4
USC00519397,2010-08-03,0.5,25.0
USC00519397,2010-08-04,1.8,25.0
USC00519397,2010-08-05,2.0,23.9
USC00519397,2010-08-06,0.8,23.9
USC00519397,2010-08-07,0.0,26.7
USC00519397,2010-08-08,0.0,25.0
USC00519397,2010-08-09,0.0,25.6
USC00519397,2010-08-10,0.0,25.6
USC00519397,2010-08-11,0.0,25.0
USC00519397,2010-08-12,0.0,24.4
USC00519397,2010-08-13,0.0,25.6
USC00519397,2010-08-14,0.0,25.6
USC00519397,2010-08-15,0.3,24.4
USC00519397,2010-08-16,0.0,24.4
USC00519397,2010-08-17,1.3,23.3
USC00519397,2010-08-18,0.0,25.0
USC00519397,2010-08-19,0.0,26.1
USC00519397,2010-08-20,0.0,26.1
USC00519397,2010-08-21,0.0,26.1
USC00519397,2010-08-22,0.0,23.9
USC00519397,2010-08-23,0.3,30.6
USC00519397,2010-08-24,0.0,25.6
USC00519397,2010-08-25,1.0,24.4
USC00519397,2010-08-26,0.8,25.6
USC00519397,2010-08-27,0.0,25.6
USC00519397,2010-08-28,1.0,26.1
USC00519397,2010-08-29,0.0,25.6
USC00519397,2010-08-30,0.0,25.6
USC00519397,2010-08-31,0.0,26.7
USC00519397,2010-09-01,0.0,25.0
USC00519397,2010-09-02,0.5,24.4
USC00519397,2010-09-03,1.0,25.6
USC00519397,2010-09-04,0.3,25.0
USC00519397,2010-09-05,0.0,25.0
USC00519397,2010-09-06,0.0,25.0
USC00519397,2010-09-07,1.5,24.4
USC00519397,2010-09-08,0.0,25.6
USC00519397,2010-09-09,0.0,25.6
USC00519397,2010-09-10,0.0,25.6
USC00519397,2010-09-11,1.3,25.6
USC00519397,2010-09-12,0.0,23.3
USC00519397,2010-09-13,0.0,25.6
USC00519397,2010-09-14,0.0,26.1
USC00519397,2010-09-15,0.0,25.0
USC00519397,2010-09-16,0.0,26.1
USC00519397,2010-09-17,0.0,25.6
USC00519397,2010-09-19,0.0,25.6
USC00519397,2010-09-20,0.0,25.6
USC00519397,2010-09-21,0.0,26.1
USC00519397,2010-09-22,1.0,24.4
USC00519397,2010-09-23,0.0,25.6
USC00519397,2010-09-24,0.0,25.6
USC00519397,2010-09-25,0.0,26.1
USC00519397,2010-09-26,0.0,23.3
USC00519397,2010-09-27,0.0,23.9
USC00519397,2010-09-28,0.0,23.9
USC00519397,2010-09-29,0.0,25.6
USC00519397,2010-09-30,14.5,22.8
USC00519397,2010-10-01,7.9,25.6
USC00519397,2010-10-02,0.8,25.6
USC00519397,2010-10-03,0.0,25.6
USC00519397,2010-10-04,1.5,25.6
USC00519397,2010-10-05,0.0,26.7
USC00519397,2010-10-06,0.0,26.1
USC00519397,2010-10-07,0.0,26.1
USC00519397,2010-10-08,0.0,25.6
USC00519397,2010-10-09,0.0,25.6
USC00519397,2010-10-10,0.0,25.6
USC00519397,2010-10-11,0.0,25.0
USC00519397,2010-10-12,0.0,26.1
USC00519397,2010-10-13,0.0,25.6
USC00519397,2010-10-15,0.0,25.6
USC00519397,2010-10-16,0.0,25.0
USC00519397,2010-10-17,0.0,24.4
USC00519397,2010-10-18,0.0,24.4
USC00519397,2010-10-19,1.8,22.2
USC00519397,2010-10-20,0.0,23.3
USC00519397,2010-10-21,0.0,26.7
USC00519397,2010-10-22,0.0,25.0
USC00519397,2010-10-23,0.0,23.9
USC00519397,2010-10-24,0.0,25.6
USC00519397,2010-10-25,0.0,25.6
USC00519397,2010-10-26,1.8,24.4
USC00519397,2010-10-27,1.3,26.1
USC00519397,2010-10-28,1.5,25.6
USC00519397,2010-10-29,0.8,25.6
USC00519397,2010-10-30,0.5,25.0
USC00519397,2010-10-31,0.0,24.4
USC00519397,2010-11-01,0.3,23.9
USC00519397,2010-11-02,0.3,22.8
USC00519397,2010-11-04,,22.8
USC00519397,2010-11-05,0.0,25.0
USC00519397,2010-11-06,0.0,24.4
USC00519397,2010-11-07,0.0,25.0
USC00519397,2010-11-08,0.0,24.4
USC00519397,2010-11-09,0.0,22.8
USC00519397,2010-11-10,5.8,22.8
USC00519397,2010-11-11,0.0,25.0
USC00519397,2010-11-12,0.0,25.0
USC00519397,2010-11-13,0.0,24.4
USC00519397,2010-11-16,0.0,22.8
USC00519397,2010-11-17,0.0,22.8
USC00519397,2010-11-19,,22.2
USC00519397,2010-11-20,0.8,20.6
USC00519397,2010-11-21,0.0,20.6
USC00519397,2010-11-22,0.0,20.0
USC00519397,2010-11-23,0.0,20.6
USC00519397,2010-11-24,0.0,24.4
USC00519397,2010-11-25,0.0,24.4
USC00519397,2010-11-27,0.0,23.9
USC00519397,2010-11-28,0.0,23.3
USC00519397,2010-11-29,0.0,20.6
USC00519397,2010-11-30,0.0,23.3
USC00519397,2010-12-01,1.0,24.4
USC00519397,2010-12-03,0.0,23.3
USC00519397,2010-12-04,0.0,23.3
USC00519397,2010-12-06,0.0,17.8
USC00519397,2010-12-07,0.0,17.8
USC00519397,2010-12-08,0.0,19.4
USC00519397,2010-12-09,0.0,25.0
USC00519397,2010-12-10,40.1,18.9
USC00519397,2010-12-11,19.6,20.6
USC00519397,2010-12-12,0.0,20.0
USC00519397,2010-12-13,0.0,20.0
USC00519397,2010-12-14,0.0,21.7
USC00519397,2010-12-15,0.0,23.3
USC00519397,2010-12-16,0.0,19.4
USC00519397,2010-12-17,0.0,18.9
USC00519397,2010-12-18,0.0,20.6
USC00519397,2010-12-19,35.6,21.7
USC00519397,2010-12-23,0.0,21.1
USC00519397,2010-12-24,0.0,21.1
USC00519397,2010-12-26,,23.3
USC00519397,2010-12-27,3.3,23.3
USC00519397,2010-12-28,14.0,21.7
USC00519397,2010-12-29,1.5,23.9
USC00519397,2010-12-30,0.3,23.9
USC00519397,2010-12-31,0.0,22.2
USC00519397,2011-01-01,0.0,20.6
USC00519397,2011-01-02,0.0,22.2
USC00519397,2011-01-03,0.0,23.3
USC00519397,2011-01-04,0.0,22.8
USC00519397,2011-01-05,0.0,17.8
USC00519397,2011-01-06,0.3,18.3
USC00519397,2011-01-07,0.0,20.0
USC00519397,2011-01-08,0.0,16.7
USC00519397,2011-01-09,0.0,14.4
USC00519397,2011-01-10,0.0,22.8
USC00519397,2011-01-11,2.3,15.6
USC00519397,2011-01-13,,20.0
USC00519397,2011-01-14,0.8,24.4
USC00519397,2011-01-15,0.0,20.0
USC00519397,2011-01-16,0.0,18.9
USC00519397,2011-01-17,0.0,17.8
USC00519397,2011-01-18,0.0,17.8
USC00519397,2011-01-19,0.8,17.8
USC00519397,2011-01-20,0.0,24.4
USC00519397,2011-01-21,0.0,23.9
USC00519397,2011-01-22,0.0,20.0
USC00519397,2011-01-23,0.0,20.0
USC00519397,2011-01-24,0.0,22.2
USC00519397,2011-01-25,0.0,17.2
USC00519397,2011-01-27,0.0,20.0
USC00519397,2011-01-28,0.0,23.9
USC00519397,2011-01-29,0.0,18.3
USC00519397,2011-01-30,0.0,17.8
USC00519397,2011-01-31,5.6,20.0
USC00519397,2011-02-01,0.0,20.0
USC00519397,2011-02-02,0.0,18.9
USC00519397,2011-02-03,0.0,19.4
USC00519397,2011-02-04,0.0,17.8
USC00519397,2011-02-05,0.0,18.3
USC00519397,2011-02-06,0.0,23.9
USC00519397,2011-02-07,32.8,20.0
USC00519397,2011-02-08,33.0,21.7
USC00519397,2011-02-09,0.0,21.7
USC00519397,2011-02-10,7.4,21.7
USC00519397,2011-02-12,,20.0
USC00519397,2011-02-13,0.0,20.0
USC00519397,2011-02-14,1.0,22.2
USC00519397,2011-02-15,1.3,21.1
USC00519397,2011-02-16,0.0,23.3
USC00519397,2011-02-19,0.0,19.4
USC00519397,2011-02-20,43.7,21.7
USC00519397,2011-02-21,0.0,21.7
USC00519397,2011-02-22,20.8,21.7
USC00519397,2011-02-23,0.0,23.3
USC00519397,2011-02-24,5.1,20.0
USC00519397,2011-02-25,0.0,21.7
USC00519397,2011-02-26,0.0,20.6
USC00519397,2011-02-27,0.0,20.6
USC00519397,2011-02-28,0.0,20.0
USC00519397,2011-03-01,2.5,20.0
USC00519397,2011-03-02,0.0,22.2
USC00519397,2011-03-03,0.0,23.3
USC00519397,2011-03-04,22.4,22.2
USC00519397,2011-03-05,10.2,20.6
USC00519397,2011-03-06,0.8,21.1
USC00519397,2011-03-08,,22.2
USC00519397,2011-03-09,5.1,21.7
USC00519397,2011-03-10,3.8,21.7
USC00519397,2011-03-12,0.0,22.2
USC00519397,2011-03-13,0.0,21.1
USC00519397,2011-03-14,0.0,21.7
USC00519397,2011-03-16,0.0,24.4
USC00519397,2011-03-17,0.3,22.8
USC00519397,2011-03-18,1.3,23.3
USC00519397,2011-03-19,0.3,23.3
USC00519397,2011-03-20,0.5,23.3
USC00519397,2011-03-21,0.0,23.3
USC00519397,2011-03-22,0.5,23.3
USC00519397,2011-03-23,0.0,23.3
USC00519397,2011-03-24,1.5,22.8
USC00519397,2011-03-25,0.0,23.3
USC00519397,2011-03-26,0.0,23.3
USC00519397,2011-03-27,0.0,22.8
USC00519397,2011-03-28,1.0,23.3
USC00519397,2011-03-30,0.0,23.9
USC00519397,2011-03-31,0.0,23.3
USC00519397,2011-04-01,1.3,23.3
USC00519397,2011-04-02,1.0,23.9
USC00519397,2011-04-03,0.0,23.3
USC00519397,2011-04-04,0.0,23.9
USC00519397,2011-04-05,0.0,23.3
USC00519397,2011-04-06,2.3,21.1
USC00519397,2011-04-07,28.2,21.1
USC00519397,2011-04-08,9.1,21.1
USC00519397,2011-04-09,0.5,24.4
USC00519397,2011-04-10,0.0,24.4
USC00519397,2011-04-11,0.0,24.4
USC00519397,2011-04-12,0.0,24.4
USC00519397,2011-04-13,0.0,21.1
USC00519397,2011-04-15,0.0,25.0
USC00519397,2011-04-16,3.0,23.3
USC00519397,2011-04-17,0.0,22.8
USC00519397,2011-04-18,0.0,24.4
USC00519397,2011-04-19,0.0,24.4
USC00519397,2011-04-20,0.0,23.3
USC00519397,2011-04-21,0.0,25.0
USC00519397,2011-04-22,0.0,25.0
USC00519397,2011-04-23,0.0,25.6
USC00519397,2011-04-24,0.0,25.0
USC00519397,2011-04-25,0.0,25.0
USC00519397,2011-04-26,0.0,24.4
USC00519397,2011-04-27,0.0,25.0
USC00519397,2011-04-29,0.0,25.6
USC00519397,2011-04-30,1.0,24.4
USC00519397,2011-05-01,0.0,25.0
USC00519397,2011-05-02,0.0,25.0
USC00519397,2011-05-03,53.3,21.1
USC00519397,2011-05-04,0.5,24.4
USC00519397,2011-05-05,3.0,23.3
USC00519397,2011-05-06,3.0,22.2
USC00519397,2011-05-07,14.0,23.3
USC00519397,2011-05-08,14.0,22.8
USC00519397,2011-05-09,0.5,23.9
USC00519397,2011-05-10,2.8,23.9
USC00519397,2011-05-11,2.5,23.9
USC00519397,2011-05-12,0.0,24.4
USC00519397,2011-05-13,0.0,25.0
USC00519397,2011-05-14,0.0,25.6
USC00519397,2011-05-15,0.0,25.0
USC00519397,2011-05-16,0.0,25.6
USC00519397,2011-05-17,0.0,25.0
USC00519397,2011-05-18,0.0,24.4
USC00519397,2011-05-19,0.3,25.0
USC00519397,2011-05-20,0.0,26.1
USC00519397,2011-05-21,0.0,25.0
USC00519397,2011-05-22,1.5,23.3
USC00519397,2011-05-23,0.5,25.6
USC00519397,2011-05-24,0.0,25.0
USC00519397,2011-05-25,0.0,26.1
USC00519397,2011-05-26,0.0,25.6
USC00519397,2011-05-27,0.0,25.6
USC00519397,2011-05-28,0.0,25.0
USC00519397,2011-05-29,0.0,25.6
USC00519397,2011-05-30,0.0,25.6
USC00519397,2011-05-31,1.3,22.8
USC00519397,2011-06-01,1.8,25.0
USC00519397,2011-06-02,0.0,25.6
USC00519397,2011-06-03,14.2,22.8
USC00519397,2011-06-04,22.6,21.1
USC00519397,2011-06-05,0.0,24.4
USC00519397,2011-06-06,0.0,25.0
USC00519397,2011-06-07,0.0,25.0
USC00519397,2011-06-08,0.8,25.0
USC00519397,2011-06-09,0.3,25.0
USC00519397,2011-06-10,0.0,25.6
USC00519397,2011-06-11,0.0,25.0
USC00519397,2011-06-12,0.0,25.0
USC00519397,2011-06-13,0.0,25.6
USC00519397,2011-06-14,0.0,25.6
USC00519397,2011-06-15,0.0,25.0
USC00519397,2011-06-17,0.0,25.6
USC00519397,2011-06-18,0.0,25.6
USC00519397,2011-06-19,1.3,23.9
USC00519397,2011-06-20,1.5,24.4
USC00519397,2011-06-21,1.8,24.4
USC00519397,2011-06-24,,25.0
USC00519397,2011-06-25,0.0,25.6
USC00519397,2011-06-26,0.0,24.4
USC00519397,2011-06-27,0.3,25.0
USC00519397,2011-06-28,0.3,23.9
USC00519397,2011-06-29,0.0,25.0
USC00519397,2011-07-01,1.3,25.0
USC00519397,2011-07-02,0.5,25.6
USC00519397,2011-07-03,0.0,25.6
USC00519397,2011-07-04,0.0,25.6
USC00519397,2011-07-05,0.3,25.6
USC00519397,2011-07-06,0.3,24.4
USC00519397,2011-07-07,0.3,24.4
USC00519397,2011-07-08,0.0,25.0
USC00519397,2011-07-09,0.8,25.0
USC00519397,2011-07-10,0.5,25.0
USC00519397,2011-07-11,0.0,25.6
USC00519397,2011-07-12,0.0,25.0
USC00519397,2011-07-13,3.8,22.8
USC00519397,2011-07-14,0.0,25.0
USC00519397,2011-07-15,0.0,26.1
USC00519397,2011-07-16,0.0,25.6
USC00519397,2011-07-17,1.0,25.0
USC00519397,2011-07-18,0.0,25.6
USC00519397,2011-07-19,0.0,25.6
USC00519397,2011-07-20,0.0,24.4
USC00519397,2011-07-21,0.8,25.0
USC00519397,2011-07-23,0.0,25.6
USC00519397,2011-07-24,0.0,25.0
USC00519397,2011-07-25,0.0,25.6
USC00519397,2011-07-26,0.0,25.6
USC00519397,2011-07-27,1.0,25.0
USC00519397,2011-07-28,2.3,25.0
USC00519397,2011-07-29,1.0,25.6
USC00519397,2011-07-30,3.0,26.7
USC00519397,2011-07-31,0.0,25.0
USC00519397,2011-08-01,0.0,25.6
USC00519397,2011-08-02,0.0,25.0
USC00519397,2011-08-03,0.0,25.6
USC00519397,2011-08-04,0.5,24.4
USC00519397,2011-08-05,0.8,25.6
USC00519397,2011-08-06,0.3,25.0
USC00519397,2011-08-07,0.0,25.6
USC00519397,2011-08-08,0.0,25.6
USC00519397,2011-08-09,0.0,26.1
USC00519397,2011-08-11,0.0,25.6
USC00519397,2011-08-12,0.0,25.6
USC00519397,2011-08-13,0.0,24.4
USC00519397,2011-08-14,0.0,25.6
USC00519397,2011-08-15,0.0,25.0
USC00519397,2011-08-16,0.0,26.1
USC00519397,2011-08-17,0.5,25.0
USC00519397,2011-08-18,0.0,25.0
USC00519397,2011-08-19,0.0,25.6
USC00519397,2011-08-20,1.8,25.0
USC00519397,2011-08-21,0.0,25.0
USC00519397,2011-08-22,0.0,25.6
USC00519397,2011-08-23,0.0,25.6
USC00519397,2011-08-24,0.0,26.1
USC00519397,2011-08-25,0.0,25.6
USC00519397,2011-08-26,0.0,25.6
USC00519397,2011-08-27,0.0,26.1
USC00519397,2011-08-28,1.3,24.4
USC00519397,2011-08-29,2.5,24.4
USC00519397,2011-08-30,0.5,25.6
USC00519397,2011-08-31,0.0,26.1
USC00519397,2011-09-02,0.0,26.1
USC00519397,2011-09-03,0.0,25.6
USC00519397,2011-09-04,0.8,25.0
USC00519397,2011-09-05,0.0,25.0
USC00519397,2011-09-06,0.0,22.8
USC00519397,2011-09-07,0.0,22.8
USC00519397,2011-09-08,0.0,25.0
USC00519397,2011-09-09,0.0,26.1
USC00519397,2011-09-10,0.0,25.0
USC00519397,2011-09-11,0.0,25.0
USC00519397,2011-09-12,0.0,29.4
USC00519397,2011-09-13,0.3,25.0
USC00519397,2011-09-14,0.0,24.4
USC00519397,2011-09-15,0.0,26.1
USC00519397,2011-09-16,0.0,26.1
USC00519397,2011-09-17,0.5,25.0
USC00519397,2011-09-18,1.0,25.0
USC00519397,2011-09-19,0.0,27.8
USC00519397,2011-09-20,0.0,26.7
USC00519397,2011-09-21,0.0,26.1
USC00519397,2011-09-22,0.8,25.6
USC00519397,2011-09-23,0.0,24.4
USC00519397,2011-09-24,0.0,25.0
USC00519397,2011-09-25,0.0,23.3
USC00519397,2011-09-26,0.0,25.0
USC00519397,2011-09-27,0.0,25.6
USC00519397,2011-09-28,0.0,25.0
USC00519397,2011-10-01,0.0,25.6
USC00519397,2011-10-02,0.0,25.6
USC00519397,2011-10-03,0.0,26.7
USC00519397,2011-10-05,,26.1
USC00519397,2011-10-06,0.0,23.9
USC00519397,2011-10-07,0.8,25.6
USC00519397,2011-10-08,0.0,26.1
USC00519397,2011-10-09,0.0,25.6
USC00519397,2011-10-10,0.5,25.0
USC00519397,2011-10-11,0.8,25.6
USC00519397,2011-10-12,0.0,25.0
USC00519397,2011-10-13,0.0,25.0
USC00519397,2011-10-14,0.8,25.6
USC00519397,2011-10-15,0.5,25.0
USC00519397,2011-10-16,0.0,24.4
USC00519397,2011-10-17,0.5,25.0
USC00519397,2011-10-18,0.3,24.4
USC00519397,2011-10-19,0.0,23.3
USC00519397,2011-10-20,0.0,25.6
USC00519397,2011-10-21,0.0,24.4
USC00519397,2011-10-22,0.0,25.0
USC00519397,2011-10-23,0.0,23.9
USC00519397,2011-10-24,3.6,23.3
USC00519397,2011-10-25,40.6,25.0
USC00519397,2011-10-26,0.3,24.4
USC00519397,2011-10-27,0.0,25.0
USC00519397,2011-10-28,1.3,22.8
USC00519397,2011-10-29,0.3,24.4
USC00519397,2011-10-30,0.0,23.9
USC00519397,2011-10-31,0.8,24.4
USC00519397,2011-11-01,14.7,21.7
USC00519397,2011-11-02,7.1,25.0
USC00519397,2011-11-03,0.5,25.0
USC00519397,2011-11-04,0.3,23.9
USC00519397,2011-11-05,0.0,24.4
USC00519397,2011-11-06,0.0,25.0
USC00519397,2011-11-07,0.0,25.6
USC00519397,2011-11-08,0.0,24.4
USC00519397,2011-11-09,0.5,24.4
USC00519397,2011-11-10,0.0,24.4
USC00519397,2011-11-11,1.3,23.3
USC00519397,2011-11-12,0.0,23.9
USC00519397,2011-11-13,0.0,24.4
USC00519397,2011-11-14,0.0,22.8
USC00519397,2011-11-15,0.0,21.7
USC00519397,2011-11-16,0.0,23.9
USC00519397,2011-11-17,0.0,24.4
USC00519397,2011-11-18,0.0,25.6
USC00519397,2011-11-19,0.0,24.4
USC00519397,2011-11-20,0.0,23.9
USC00519397,2011-11-21,0.3,24.4
USC00519397,2011-11-22,0.5,22.8
USC00519397,2011-11-23,0.3,23.9
USC00519397,2011-11-24,0.0,22.8
USC00519397,2011-11-25,0.3,21.1
USC00519397,2011-11-26,0.5,23.9
USC00519397,2011-11-27,1.8,22.8
USC00519397,2011-11-28,0.0,22.2
USC00519397,2011-11-29,0.0,22.2
USC00519397,2011-11-30,0.5,18.9
USC00519397,2011-12-01,0.8,20.6
USC00519397,2011-12-02,2.0,20.0
USC00519397,2011-12-03,0.0,22.8
USC00519397,2011-12-04,0.0,23.3
USC00519397,2011-12-05,0.0,22.8
USC00519397,2011-12-06,0.0,22.8
USC00519397,2011-12-07,0.0,22.8
USC00519397,2011-12-08,0.0,22.8
USC00519397,2011-12-09,3.3,21.7
USC00519397,2011-12-10,1.8,22.8
USC00519397,2011-12-11,1.8,22.8
USC00519397,2011-12-12,2.0,25.0
USC00519397,2011-12-13,10.2,22.2
USC00519397,2011-12-14,17.8,21.7
USC00519397,2011-12-15,0.0,22.8
USC00519397,2011-12-16,0.3,21.1
USC00519397,2011-12-17,1.8,22.8
USC00519397,2011-12-18,0.5,20.6
USC00519397,2011-12-19,3.8,23.3
USC00519397,2011-12-20,0.5,22.2
USC00519397,2011-12-21,4.6,21.7
USC00519397,2011-12-22,0.8,22.2
USC00519397,2011-12-23,1.0,22.2
USC00519397,2011-12-24,2.5,21.1
